,Date,Price
0,2023-06-26,[177.5615692138672]
1,2023-06-27,[178.58810424804688]
2,2023-06-28,[177.07992553710938]
3,2023-06-29,[172.94725036621094]
4,2023-06-30,[173.043212890625]
5,2023-07-03,[171.56700134277344]
6,2023-07-04,[169.42343139648438]
7,2023-07-05,[169.11038208007812]
8,2023-07-06,[167.9055633544922]
9,2023-07-07,[166.64202880859375]
