,Date,Price
0,2023-06-26,[72.90978240966797]
1,2023-06-27,[73.05242156982422]
2,2023-06-28,[73.35453796386719]
3,2023-06-29,[76.7072982788086]
4,2023-06-30,[76.99839782714844]
5,2023-07-03,[77.86713409423828]
6,2023-07-04,[79.84797668457031]
7,2023-07-05,[80.28326416015625]
8,2023-07-06,[81.20672607421875]
9,2023-07-07,[82.46245574951172]
