,Date,Price
0,2023-06-26,[251.6773681640625]
1,2023-06-27,[252.16859436035156]
2,2023-06-28,[245.8927764892578]
3,2023-06-29,[242.4810333251953]
4,2023-06-30,[240.7193145751953]
5,2023-07-03,[235.69168090820312]
6,2023-07-04,[232.64344787597656]
7,2023-07-05,[229.8461456298828]
8,2023-07-06,[225.57476806640625]
9,2023-07-07,[222.49497985839844]
