,Date,Price
0,2023-06-26,[325.1952209472656]
1,2023-06-27,[326.9063720703125]
2,2023-06-28,[323.0471496582031]
3,2023-06-29,[318.3724060058594]
4,2023-06-30,[318.31781005859375]
5,2023-07-03,[315.436279296875]
6,2023-07-04,[312.8471984863281]
7,2023-07-05,[312.1230163574219]
8,2023-07-06,[310.00677490234375]
9,2023-07-07,[308.34185791015625]
