,Date,Price
0,2023-06-26,[118.32601165771484]
1,2023-06-27,[117.07441711425781]
2,2023-06-28,[115.89462280273438]
3,2023-06-29,[115.36870574951172]
4,2023-06-30,[114.3792495727539]
5,2023-07-03,[113.54528045654297]
6,2023-07-04,[112.96626281738281]
7,2023-07-05,[112.17523956298828]
8,2023-07-06,[111.51435089111328]
9,2023-07-07,[110.94984436035156]
