,Date,Price
0,2023-06-26,[289.0642395019531]
1,2023-06-27,[292.3175964355469]
2,2023-06-28,[295.1868591308594]
3,2023-06-29,[296.4956970214844]
4,2023-06-30,[299.49822998046875]
5,2023-07-03,[301.92138671875]
6,2023-07-04,[303.73687744140625]
7,2023-07-05,[306.4301452636719]
8,2023-07-06,[308.6304016113281]
9,2023-07-07,[310.6287841796875]
