,Date,Price
0,2023-06-26,[127.52356719970703]
1,2023-06-27,[131.04319763183594]
2,2023-06-28,[130.162109375]
3,2023-06-29,[129.84078979492188]
4,2023-06-30,[132.13333129882812]
5,2023-07-03,[131.56646728515625]
6,2023-07-04,[131.9901885986328]
7,2023-07-05,[133.5340576171875]
8,2023-07-06,[133.3703155517578]
9,2023-07-07,[134.14564514160156]
