,Date,Price
0,2023-06-26,[408.6922607421875]
1,2023-06-27,[405.770751953125]
2,2023-06-28,[398.28521728515625]
3,2023-06-29,[390.23748779296875]
4,2023-06-30,[386.3066101074219]
5,2023-07-03,[380.11773681640625]
6,2023-07-04,[374.43707275390625]
7,2023-07-05,[370.3443603515625]
8,2023-07-06,[365.2617492675781]
9,2023-07-07,[360.7477722167969]
