,Date,Price
0,2023-06-26,[122.2396240234375]
1,2023-06-27,[123.59781646728516]
2,2023-06-28,[122.94694519042969]
3,2023-06-29,[122.77914428710938]
4,2023-06-30,[123.44505310058594]
5,2023-07-03,[123.03704833984375]
6,2023-07-04,[123.08389282226562]
7,2023-07-05,[123.3949966430664]
8,2023-07-06,[123.17316436767578]
9,2023-07-07,[123.27159118652344]
