,Apple,Amazon,Microsoft,Tesla
Root Mean Square Error,4.35297332123373,5.14061350979399,7.47606055683529,9.740361590786248
Mean Absolute Error,3.6720231067193687,4.184135185770751,5.917032687747036,7.380510122529644
Mean Absolute Percentage Error,2.4300780356636587,3.685119933073042,2.3267819917645833,3.353349059738024
R2-Score,0.8559175556509713,0.9334724172697809,0.8553151398395357,0.9742137735806379
